What is the name for the Jewish New Year?;Hanukkah;Yom Kippur;Kwanza;Rosh Hashanah;4
How many blue stripes are there on the U.S. flag?;6;7;13;0;4
Which one of these characters is not friends with Harry Potter?;Ron Weasley;Neville Longbottom;Draco Malfoy;Hermione Granger;3
What is the color of Donald Duck’s bowtie?;Red;Yellow;Blue;White;1
What was the name of the band Lionel Richie was a part of?;King Harvest;Spectrums;Commodores;The Marshall Tucker Band;3
Which animal does not appear in the Chinese zodiac?;Dragon;Rabbit;Dog;Hummingbird;4
Which country held the 2016 Summer Olympics?;China;Ireland;Brazil;Italy;3
Which planet is the hottest?;Venus;Saturn;Mercury;Mars;1
Who was the only U.S. President to resign?;Herbert Hoover;Richard Nixon;George W. Bush;Barack Obama;2
What does the “D” in “D-Day” stand for?;Dooms;Dark;Denmark;Dunkirk;4
In which city can you find the Liberty Bell?;Washington, D.C.;Boston;Philadelphia;Manhattan;3
In Pirates of the Caribbean, what was the name of Captain Jack Sparrow’s ship?;The Marauder;The Black Pearl;The Black Python;The Slytherin;2
According to Forrest Gump, “life was like…”;A bag of lemons;A handful of roses;A lollipop;A box of chocolates;4
Linda and Bob from Bob’s Burgers have 3 kids. Which one of these characters is not one of them?;Louise;Gene;Jimmy;Tina;3
The British band One Direction (rip) was made up of Harry, Louis, Niall, Zayn, and…;Paul;Callum;Kevin;Liam;4
What is the rarest blood type?;O;A;B;AB-Negative;2
Holly Golightly is a character in which film?;Breakfast at Tiffanys;Pretty In Pink;Funny Face;Singing In The Rain;1
In The Wizard of Oz, the Tin Man wanted to see the Wizard about getting…;A brain;An oil can;A dog;A heart;4
Which U.S. state is known as the sunflower state?;Florida;California;Maine;Kansas;4
Which one of these characters aren’t a part of the Friends group?;Rachel;Joey;Gunther;Monica;3
How many bones are there in the human body?;206;205;201;209;1
Which famous singer released a song called “Adore You”?;Harry Styles;Dua Lipa;Halsey;Shawn Mendes;1
Fe is the chemical symbol for…;Zinc;Hydrogen;Fluorine;Iron;4
How old do you have to be to enter in the hunger games?;12;11;10;15;1
What language is the most spoken worldwide?;Chinese;Spanish;Arabic;English;1
What year did Barbie come out?;1958;1959;1956;1961;2
What is Shakespeare’s shortest tragedy?;Macbeth;Hamlet;Romeo & Juliet;Othello;1
What is the #1 cookie in the U.S.?;Chips Ahoy!;Milano;Girl Scout Thin Mints;Oreo;4
How many hearts does an octopus have?;1;2;3;4;3
Who wrote The Scarlett Letter?;Shakespeare;Stephen King;Nathanial Hawthorne;Ernest Hemingway;3
Which social media platform came out in 2003?;Myspace;Twitter;Facebook;Tumblr;1
Which planet in our solar system is the largest?;Jupiter;Saturn;Neptune;Earth;1
The Powerpuff Girls are 3 distinct colors. What are they?;Red, yellow, green;Yellow, blue, green;Blue, green, red;Green, purple, orange;3
Which boyband sings the song “I Want It That Way”?;One Direction;Backstreet Boys;NSYNC;New Kids On The Block;2
Who painted the Sistine Chapel ceiling?;Picasso;Da Vinci;Michelangelo;Van Gogh;3
In which state did the Salem Witch Trials take place?;Washington;Virginia;Massachusetts;Pennsylvania;3
Which ocean is the largest?;Indian;Pacific;Atlantic;Arctic;2
Which New York City building is the tallest:;Empire State Building;Bank of America Tower;One World Trade Center;Statue of Liberty;3
What does the “E” in Chuck E. Cheese stand for?;Ernest;Edward;Entertainment;Extra;3
Which country gifted the Statue of Liberty to the U.S.?;Germany;China;France;Italy;3
Who painted the Mona Lisa?;Van Gogh;da Vinci;Picasso;Monet;2
In which city were Anne Frank and her family in hiding?;Paris;Amsterdam;Brussels;Frankfurt;2
There are 4 best friends in the TV show Pretty Little Liars Hanna, Emily, Aria, and…;Mona;Charlie;Alison;Spencer;4
In which decade does the Netflix series Stranger Things take place?;‘70s;‘80s;‘90s;early 2000s;2
Which country consumes the most chocolate?;Spain;Germany;North America;Switzerland;4
What is Sodium Chloride?;Salt;Sugar;Chlorine;Bleach;1
Which astrological sign is a crab?;Pisces;Aquarius;Cancer;Virgo;3
In the Bible, how does the Virgin Mary learn of her pregnancy with baby Jesus?;God tells her;the angel Gabriel tells her;she has a dream about it;a doctor tells her;2
Who, in the Harry Potter series, is Tom Riddle?;a student in Harry’s class;a professor at Hogwarts;Harry’s birth father;Voldemort;4
The movie The Social Network is about which social media platform:;Facebook;Myspace;Instagram;Twitter;1
Who wrote the songs for The Lion King?;Elton John;Phil Collins;Celine Dion;Stevie Wonder;1
How many daughters does Barack Obama have?;0;1;2;3;3
Which Disney princess sings “Just Around The Riverbend”?;Snow White;Pocahontas;Elsa;Belle;2
Which biblical narrative is connected to Palm Sunday?;Jesus’ entry into Jerusalem;Jesus’ resurrection;Jesus feeding the thousands;Nothing, it just means to go to church on Sunday/the day of rest;1
In Harry Potter and the Sorcerer’s Stone, who gives Harry the invisibility cloak?;Ron;Snape;Dumbledore;No one, he just finds it;3
How many burroughs are there in New York City?;4;5;6;10;2
In the U.S. version of The Office, Michael Scott burns his foot on:;hot water;pavement/cement;rocks on fire;a George Foreman Grill;4
The superstitution believes that when the groundhog sees his shadow, it means:;early spring;6 more weeks of winter;it’s going to rain;a tornado is coming;2
